,Route,Direction,Stop,Model,RMSE,MAE
2,220,2,110,random forest,9.48886229673246,5.802496181217773
0,83,1,175,lin_reg,35.53947996116952,21.225763332888807
1,83,1,175,decision Tree,9.033614963968224,3.4252069035740846
2,83,1,175,random forest,20.078520747004646,10.788072093337721
0,49,1,1934,lin_reg,63.15536708094426,43.528364232418035
1,49,1,1934,decision Tree,10.176611400505088,2.5641087032781127
2,49,1,1934,random forest,36.88474487512726,21.3094524092627
0,38B,1,1826,lin_reg,13.43395602748142,10.197054775341563
1,38B,1,1826,decision Tree,0.07533029414277381,0.0037831021437578815
2,38B,1,1826,random forest,8.041175387424483,4.914670029424128
0,220,1,1603,lin_reg,25.44962696737247,10.81509609567746
1,220,1,1603,decision Tree,0.0,0.0
2,220,1,1603,random forest,16.419810853732436,5.43850565731503
0,39,1,4464,lin_reg,75.9891102323032,52.913918783688864
1,39,1,4464,decision Tree,5.690388302649698,1.0271459061441035
2,39,1,4464,random forest,34.54115727484816,18.89999153289457
0,56A,2,2775,lin_reg,57.033477320447915,38.108754650055005
1,56A,2,2775,decision Tree,6.524063889946772,0.8849343492941212
2,56A,2,2775,random forest,30.992909973752926,16.457165670715437
0,16C,1,214,lin_reg,42.44863705584685,20.73201250338265
1,16C,1,214,decision Tree,0.0,0.0
2,16C,1,214,random forest,34.95128019906397,11.454297938545313
0,14,1,235,lin_reg,40.38751059728445,20.299824961553377
1,14,1,235,decision Tree,3.4923650995060167,0.7817687285017924
2,14,1,235,random forest,18.80721459123298,9.221818444066486
0,33,1,3781,lin_reg,39.88855396599773,28.31901969296522
1,33,1,3781,decision Tree,4.635239473131939,0.894706744198075
2,33,1,3781,random forest,22.57285135122833,13.534541873808362
0,67X,2,3927,lin_reg,27.039630240324303,19.600381460268967
1,67X,2,3927,decision Tree,0.0,0.0
2,67X,2,3927,random forest,16.245553942705822,9.679324894514767
0,65,2,2587,lin_reg,12.628949091462223,6.746739346398153
1,65,2,2587,decision Tree,0.6518136237929907,0.10762810691682215
2,65,2,2587,random forest,7.463367442291003,3.126099466337419
0,15,2,672,lin_reg,20.008312096325856,14.472114583586556
1,15,2,672,decision Tree,8.538147401305832,4.086243230915003
2,15,2,672,random forest,12.239277407962259,8.389575003885076
