,Route,Direction,Stop,Max,Min
0,41C,1,1628,219.0,-141.0
0,38A,2,748,1034.0,-122.0
0,239,1,4604,353.0,-46.0
0,33X,1,3569,73.0,-23.0
0,185,1,4167,3643.0,-1351.0
0,33B,2,3732,1492.0,-1304.0
0,38A,1,4745,2560.0,-1067.0
0,122,1,1284,1082.0,-127.0
0,130,1,1742,366.0,-80.0
0,7A,1,4982,1735.0,-1208.0
0,104,1,220,486.0,-216.0
0,33,2,119,389.0,-73.0
0,31,1,585,287.0,-42.0
0,14,1,255,1106.0,-279.0
0,25D,2,4616,429.0,-39.0
0,40B,1,1519,126.0,-25.0
0,116,1,2852,49.0,-66.0
0,16D,1,46,210.0,-31.0
0,38A,2,1697,309.0,-974.0
0,83,1,2490,683.0,-585.0
0,145,1,3135,374.0,-742.0
0,68X,2,6153,62.0,-73.0
0,45A,2,3557,161.0,-35.0
0,38A,2,404,1793.0,-944.0
0,33,1,1171,2369.0,-96.0
0,39,2,313,1618.0,-43.0
0,220,1,1592,877.0,-73.0
0,37,1,1679,110.0,-47.0
0,145,1,763,1229.0,-282.0
0,41B,1,4912,20.0,4.0
0,69,2,1981,102.0,-55.0
0,16C,2,1349,49.0,-38.0
0,114,1,3187,587.0,-101.0
0,77X,2,2373,74.0,-60.0
0,32X,2,3619,34.0,-57.0
0,25A,1,7392,1975.0,-291.0
0,77X,2,4434,163.0,-146.0
0,45A,2,3238,250.0,-274.0
0,38A,1,1813,1573.0,-352.0
0,142,2,1063,355.0,-64.0
0,41B,2,3881,187.0,-159.0
0,47,1,763,1897.0,-102.0
0,37,2,1882,681.0,-103.0
0,44,2,2899,274.0,-58.0
0,45A,2,4145,152.0,-62.0
0,33B,1,3718,479.0,-64.0
0,41D,2,7603,36.0,-2.0
0,41C,1,3708,806.0,-66.0
0,42,2,1277,525.0,-44.0
0,83,2,7131,2210.0,-516.0
0,68,2,2178,8.0,-14.0
0,27,1,2335,596.0,-74.0
0,184,2,4278,285.0,-333.0
0,44,1,6097,264.0,-52.0
0,13,1,51,1305.0,-761.0
0,33A,2,3689,446.0,11.0
0,46A,1,2795,1169.0,-247.0
0,120,2,5147,789.0,-179.0
0,7A,2,3224,2440.0,-96.0
0,15A,1,1101,654.0,-575.0
0,15,1,1080,520.0,-81.0
0,29A,1,7490,681.0,-70.0
0,67,1,1445,1511.0,-154.0
0,54A,1,2403,334.0,-82.0
0,67X,2,756,153.0,-138.0
0,67,2,3374,869.0,-164.0
0,32,2,606,432.0,-86.0
0,16,1,1642,283.0,-55.0
0,79A,1,2650,1042.0,-28.0
0,45A,1,4134,538.0,-141.0
0,14,1,1020,578.0,-53.0
0,116,2,3184,250.0,-41.0
0,116,1,448,52.0,-87.0
0,27,1,4522,1888.0,-950.0
0,45A,1,3139,795.0,-540.0
0,14,1,1043,694.0,-70.0
0,38,1,1827,739.0,-180.0
0,42,1,7490,2022.0,-216.0
0,9,1,146,668.0,-65.0
0,31B,1,527,179.0,-56.0
0,40,2,1596,302.0,-42.0
0,42,1,519,806.0,-289.0
0,16,1,1296,625.0,-95.0
0,56A,1,2312,300.0,-58.0
0,31A,1,555,335.0,-109.0
0,114,1,3191,287.0,-62.0
0,59,1,3046,901.0,-85.0
0,33A,2,3823,706.0,-22.0
0,17A,2,1580,268.0,-64.0
0,68X,2,3408,17.0,-7.0
0,7D,2,909,119.0,-23.0
0,41X,2,759,265.0,-164.0
0,238,1,5071,505.0,-291.0
0,151,1,2165,177.0,-33.0
0,41,1,19,717.0,-156.0
0,66,1,1449,887.0,-98.0
0,75,1,2539,563.0,-111.0
0,69,1,1950,944.0,-438.0
0,83A,2,2496,370.0,-242.0
0,17,1,468,703.0,-361.0
0,44,2,3562,432.0,-101.0
0,27,2,7062,264.0,-351.0
0,15,2,497,1904.0,-496.0
0,39X,2,2810,209.0,-43.0
0,38D,2,1696,99.0,-73.0
0,15,2,4385,243.0,-59.0
0,84A,2,7640,114.0,-32.0
0,75,1,2856,479.0,-60.0
0,38B,2,1696,113.0,-73.0
0,41C,2,3885,637.0,-1165.0
0,32,2,948,108.0,-44.0
0,66A,1,2219,379.0,-50.0
0,67,2,7074,2357.0,-20.0
0,33,2,1174,311.0,-69.0
0,32,2,610,707.0,-58.0
0,31A,2,689,621.0,-92.0
0,33E,1,5165,85.0,20.0
0,39,1,4362,684.0,-50.0
