,Route,Direction,Model,MAE,RMSE
5,9,2,Random Forest,14.354155394917768,24.987999868399818
0,61,1,Linear Regression,22.213146860962986,34.819868937321004
1,61,2,Linear Regression,27.691395669968788,44.000803088274694
2,61,1,Decision Tree,0.5397694074905552,2.4774683244149514
3,61,2,Decision Tree,0.6563144458026529,2.845724010531508
4,61,1,Random Forest,10.765325010781341,20.468006119192722
5,61,2,Random Forest,11.829454376503332,26.176137687455235
0,43,1,Linear Regression,46.62640430175235,65.89193472804129
1,43,2,Linear Regression,34.87216612783199,49.285358592942046
2,43,1,Decision Tree,1.3176770743390465,4.492232094120999
3,43,2,Decision Tree,1.4690221706698847,4.98765483225848
4,43,1,Random Forest,26.46413055455511,47.38163443641271
5,43,2,Random Forest,26.345423578026175,42.79632357220183
0,130,1,Linear Regression,23.090206058797932,34.42523928435057
1,130,2,Linear Regression,22.12357017361185,33.09877329543431
2,130,1,Decision Tree,2.849323815437724,7.404849936400183
3,130,2,Decision Tree,3.751828061625977,9.387480659104304
4,130,1,Random Forest,13.961394031790487,25.42976898136808
5,130,2,Random Forest,12.197475525381199,21.536535565847554
0,68,1,Linear Regression,23.003902460859962,36.453951443632555
1,68,2,Linear Regression,24.112148782519203,36.26434883936622
2,68,1,Decision Tree,0.45061018678746617,2.1940736501713256
3,68,2,Decision Tree,0.6083957296199796,2.6510854377738577
4,68,1,Random Forest,12.646323000437649,22.942411849634944
5,68,2,Random Forest,13.376333268279842,24.45333044200141
0,15,1,Linear Regression,47.06865733397525,67.22318346032836
1,15,2,Linear Regression,41.44369671038062,65.73776421084287
2,15,1,Decision Tree,5.035856698071005,13.782162938202688
3,15,2,Decision Tree,5.247466604904327,14.449006524094761
4,15,1,Random Forest,24.349530735807022,41.07847303099862
5,15,2,Random Forest,21.824910021872064,38.32440495440027
0,123,1,Linear Regression,29.453870297309262,47.238257273719526
1,123,2,Linear Regression,27.32393986783399,44.69499455199438
2,123,1,Decision Tree,4.65481630036387,12.661285368325322
3,123,2,Decision Tree,3.4030550363230327,10.654341805136534
4,123,1,Random Forest,25.508178880728167,43.602872000042595
5,123,2,Random Forest,17.421212832356474,30.403044453361854
0,122,1,Linear Regression,25.63749509766159,38.161779163691065
1,122,2,Linear Regression,26.290844981103643,39.118438540146535
2,122,1,Decision Tree,3.1163369982898512,9.032017952669825
3,122,2,Decision Tree,3.01331096379941,8.805480515364641
4,122,1,Random Forest,24.30745251243877,36.82933721501115
5,122,2,Random Forest,18.550115112067065,30.411223840495406
0,120,1,Linear Regression,37.184100096543645,56.059170566425955
1,120,2,Linear Regression,36.587407406017405,53.33964384890307
2,120,1,Decision Tree,1.5775260924751457,4.969593653593193
3,120,2,Decision Tree,1.5740354672747254,4.749224482199315
4,120,1,Random Forest,17.050492636171754,33.14526929799225
5,120,2,Random Forest,18.07950434593014,33.44542348007754
0,47,1,Linear Regression,25.89919832898652,41.25077137514345
1,47,2,Linear Regression,40.33854060131981,55.69244576071087
2,47,1,Decision Tree,0.6533642283850271,3.195991873846762
3,47,2,Decision Tree,0.4206194627809986,2.3001524168626513
4,47,1,Random Forest,17.25183409602028,29.77943160647551
5,47,2,Random Forest,18.427729902721705,33.09621259889641
0,69,1,Linear Regression,21.932440768830098,35.3312766263846
1,69,2,Linear Regression,26.085263521800155,40.1036734603525
2,69,1,Decision Tree,0.45393899537789834,2.3432652399524883
3,69,2,Decision Tree,0.5841005861235004,2.8090027090305996
4,69,1,Random Forest,13.344207401421732,24.059683782724495
5,69,2,Random Forest,14.186148613228951,25.42178649671571
0,39A,1,Linear Regression,33.060730404683454,48.413047281907005
1,39A,2,Linear Regression,29.14386880163767,43.726057858897235
2,39A,1,Decision Tree,4.0431029165742975,10.39173190808666
3,39A,2,Decision Tree,4.8044058987141485,12.045934582374318
4,39A,1,Random Forest,17.02403163005946,29.17317351256471
5,39A,2,Random Forest,16.947672608795816,28.223448642051654
0,76,1,Linear Regression,37.76283702231245,57.29425620531765
1,76,2,Linear Regression,41.03247287917903,65.75931538288133
2,76,1,Decision Tree,2.1309667818309426,7.929257824474691
3,76,2,Decision Tree,1.5423399847425172,5.613254143215005
4,76,1,Random Forest,17.82095697282879,33.384802310184966
5,76,2,Random Forest,20.27969662237546,40.03423489153204
0,40,1,Linear Regression,28.58865790235441,41.7188517601578
1,40,2,Linear Regression,25.84970202493598,38.652072196486515
2,40,1,Decision Tree,3.458874600096391,8.957711543328813
3,40,2,Decision Tree,3.718736247427471,9.736431787001509
4,40,1,Random Forest,14.563166228798467,24.30709217179437
5,40,2,Random Forest,13.358192631678012,22.867792267139777
0,70,1,Linear Regression,48.189588227877636,69.46919388615926
1,70,2,Linear Regression,41.6445583084555,61.14219212863069
2,70,1,Decision Tree,1.308214405755348,6.56867584352427
3,70,2,Decision Tree,0.9664525615951368,4.231065651696764
4,70,1,Random Forest,22.804512694813166,40.99623050277162
5,70,2,Random Forest,19.35903344935731,36.139651906001845
0,29A,1,Linear Regression,19.8218910663196,29.432618677758885
1,29A,2,Linear Regression,19.518560840297763,29.02692372443232
2,29A,1,Decision Tree,1.8737577431744092,5.903756185014231
3,29A,2,Decision Tree,2.8872459892970204,7.904520896736367
4,29A,1,Random Forest,13.366974559056525,21.4483064835673
5,29A,2,Random Forest,12.621337784514653,21.216711484436363
0,25A,1,Linear Regression,31.988496765012975,46.23811540080452
1,25A,2,Linear Regression,38.32417689589589,57.441682091084814
2,25A,1,Decision Tree,2.4969759559806537,7.84957683603113
3,25A,2,Decision Tree,2.5656442786834166,8.053796483706028
4,25A,1,Random Forest,14.293626711369038,24.538907326631794
5,25A,2,Random Forest,18.895894218581113,33.3255360799114
0,38,1,Linear Regression,34.21621443153832,51.84391902653811
1,38,2,Linear Regression,39.674265726619275,57.22426327031898
2,38,1,Decision Tree,1.7927601211167796,6.47324489414285
3,38,2,Decision Tree,1.840615459690607,7.506721304742484
4,38,1,Random Forest,18.172487339381256,33.669789432561316
5,38,2,Random Forest,21.09892295361886,36.667747829970985
0,49,1,Linear Regression,23.615153941098036,35.83063234226547
1,49,2,Linear Regression,28.93597404548681,42.555499273140754
2,49,1,Decision Tree,2.077274278781038,6.842362961430768
3,49,2,Decision Tree,2.369790606505826,8.094599973774944
4,49,1,Random Forest,20.36029192256425,37.92733055254385
5,49,2,Random Forest,20.121127886937654,34.22217699049927
0,65B,1,Linear Regression,23.173527936866876,43.32947906449205
1,65B,2,Linear Regression,30.018739406204386,42.74387615380965
2,65B,1,Decision Tree,0.7820470113025277,3.3697755860609426
3,65B,2,Decision Tree,1.2885650724632198,5.635764016414508
4,65B,1,Random Forest,14.797908259381158,29.955235590594604
5,65B,2,Random Forest,22.04754479887571,38.70305869791785
0,39,1,Linear Regression,35.116400643047776,53.81873527354488
1,39,2,Linear Regression,25.972874908539396,39.74416670665502
2,39,1,Decision Tree,1.428396818303374,5.053098957496723
3,39,2,Decision Tree,2.249233878230696,7.383350027394053
4,39,1,Random Forest,18.121655460754436,35.22884948617153
5,39,2,Random Forest,15.078847820248466,26.48397377807888
0,45A,1,Linear Regression,18.93193838622354,28.300928530621572
1,45A,2,Linear Regression,19.197648753371073,29.721619471465218
2,45A,1,Decision Tree,1.177249968552613,4.280466455538151
3,45A,2,Decision Tree,1.1663535657121025,4.438762367578725
4,45A,1,Random Forest,9.145919441111195,16.48907879877574
5,45A,2,Random Forest,10.190243105162024,18.912484217621007
0,42,1,Linear Regression,18.959752971062944,29.750860892135734
1,42,2,Linear Regression,28.389058714679962,43.09737048060123
2,42,1,Decision Tree,2.059384314836706,6.138160948113627
3,42,2,Decision Tree,2.080306434445975,6.1563881232152875
4,42,1,Random Forest,11.294735461798032,19.40177873475159
5,42,2,Random Forest,17.99767795409854,29.15780367056046
0,77A,1,Linear Regression,30.282554397603807,48.63564459056517
1,77A,2,Linear Regression,28.43761754266556,44.17847411373928
2,77A,1,Decision Tree,2.499557455891236,7.739718321812932
3,77A,2,Decision Tree,2.7625098709155593,8.07655785557716
4,77A,1,Random Forest,18.938518082059076,36.38783835890792
5,77A,2,Random Forest,17.6560140479024,28.85610536614492
0,27,1,Linear Regression,27.923210771377125,42.64920538971763
1,27,2,Linear Regression,28.970543653281474,42.30739563701509
2,27,1,Decision Tree,3.953760716783758,10.077779943050563
3,27,2,Decision Tree,3.2631183496419864,9.144230353474569
4,27,1,Random Forest,15.68797405075321,26.877617318192538
5,27,2,Random Forest,14.888533826071452,25.249082347065173
0,54A,1,Linear Regression,23.15654509870642,38.40889369717378
1,54A,2,Linear Regression,28.256685205681357,41.2231022571992
2,54A,1,Decision Tree,1.9296701437864223,6.265811232266469
3,54A,2,Decision Tree,3.4804042650246063,9.728407999399899
4,54A,1,Random Forest,14.336861365905724,26.52340167789632
5,54A,2,Random Forest,45.5590828405511,68.23056921504104
0,46A,1,Linear Regression,34.474813067488974,49.337582319773354
1,46A,2,Linear Regression,46.09497640873906,67.50139688243019
2,46A,1,Decision Tree,6.15576566180306,14.573996223856108
3,46A,2,Decision Tree,5.697050570758515,14.127710759887808
4,46A,1,Random Forest,20.021833090396242,35.402336010063394
5,46A,2,Random Forest,30.30714950565672,54.48598190903901
0,27A,1,Linear Regression,27.015115957006106,38.63873603115552
1,27A,2,Linear Regression,21.608430448643404,30.67220286226595
2,27A,1,Decision Tree,1.2441267058437488,4.227363579862387
3,27A,2,Decision Tree,1.5677233608957246,4.871047120289717
4,27A,1,Random Forest,15.302146731841503,29.96849014178638
5,27A,2,Random Forest,13.73659413119388,24.664923739328753
0,40D,1,Linear Regression,25.12327025811586,41.51065672406621
1,40D,2,Linear Regression,21.239714961381285,32.41486755786182
2,40D,1,Decision Tree,1.9016254923745937,6.193150499962196
3,40D,2,Decision Tree,2.499935561655849,7.221002044484072
4,40D,1,Random Forest,12.726594554430685,25.713368695104986
5,40D,2,Random Forest,10.620776926600128,19.391456271869036
0,7,1,Linear Regression,43.35818389491273,61.388856505420534
1,7,2,Linear Regression,37.795773445740664,56.97699305531687
2,7,1,Decision Tree,1.760648294954177,6.9057471460993005
3,7,2,Decision Tree,2.1175700307036114,7.35980661817496
4,7,1,Random Forest,20.71996744072682,35.87126440308609
5,7,2,Random Forest,19.53444459555166,35.8106796370933
0,53,1,Linear Regression,46.77329822809553,70.78327869334505
1,53,2,Linear Regression,32.60734509229399,51.00291949897259
2,53,1,Decision Tree,0.9206169708016387,5.761135244280603
3,53,2,Decision Tree,0.6273228571384452,2.8752861618947403
4,53,1,Random Forest,22.350049664414424,43.57527458024077
5,53,2,Random Forest,18.080055785475345,34.25161020287639
0,33B,1,Linear Regression,34.77795266940637,59.42596533566084
1,33B,2,Linear Regression,40.43972107441701,57.9392450846436
2,33B,1,Decision Tree,0.823604387311664,3.323182356062608
3,33B,2,Decision Tree,1.1919336502515858,4.6842893068347715
4,33B,1,Random Forest,17.867985680136318,37.031469713223814
5,33B,2,Random Forest,19.726754733457483,35.31999369548661
0,75,1,Linear Regression,21.85149694565023,32.69134290125617
1,75,2,Linear Regression,22.06607641848438,33.05973770025345
2,75,1,Decision Tree,1.3864872153515757,4.923397381596645
3,75,2,Decision Tree,1.3271150054611183,4.812758757013891
4,75,1,Random Forest,16.62259714419096,25.564762353338892
5,75,2,Random Forest,13.13379117239759,22.30884214042291
0,270,1,Linear Regression,75.47883850481837,108.88980175863107
1,270,2,Linear Regression,49.80492164860798,71.05995854741349
2,270,1,Decision Tree,1.0226834312565798,5.404792655498896
3,270,2,Decision Tree,0.7857354657955562,3.7459618240279173
4,270,1,Random Forest,36.524191512468235,67.08996896484105
5,270,2,Random Forest,19.41834372242226,36.902772238192334
0,18,1,Linear Regression,25.53430605603925,38.90408062549256
1,18,2,Linear Regression,28.321280164426753,42.95197392671023
2,18,1,Decision Tree,1.6206238481935842,5.957572305943607
3,18,2,Decision Tree,1.9067077933968315,6.669064326534591
4,18,1,Random Forest,14.068945281347569,26.043534485108502
5,18,2,Random Forest,17.00146472954823,28.466385656010484
0,16,1,Linear Regression,30.797725018957077,48.347217793854895
1,16,2,Linear Regression,38.553589028189954,55.49826553647822
2,16,1,Decision Tree,3.635232440525848,9.839432782480008
3,16,2,Decision Tree,4.073410532748307,11.233388929898474
4,16,1,Random Forest,15.955399580402338,29.40802113515418
5,16,2,Random Forest,20.856646792744602,35.3726607027962
